L1-APD1,L1-APD2,L2-APD1,L2-APD2,L3-APD1,L3-APD2,L4-APD1,L4-APD2
-0.0018691406249994671,0.002009765625000076,-0.0018354492187500418,-0.03127148437499941,-0.001977539062499478,0.002034667968750077,-0.001974609374999485,-0.05328369140625024
-0.002438964843749468,0.002080078125000079,-0.002383300781249542,-0.031195312499999406,-0.002572265624999487,0.0020478515625000776,-0.001652343749999459,-0.053039062500000234
-0.0018647460937494809,0.002055175781250078,-0.0024345703124995025,-0.03125976562499941,-0.002241210937499488,0.0020742187500000786,-0.0022514648437494678,-0.05326757812500024
-0.0019072265624994963,0.002033203125000077,-0.0024565429687494963,-0.031107421874999402,-0.001784179687499464,0.0020185546875000765,-0.0019497070312495188,-0.05326611328125024
-0.0024272460937494744,0.0020756835937500787,-0.0018793945312498353,-0.03134326171874941,-0.0022734374999994894,0.0020419921875000774,-0.002075683593749482,-0.053595703125000255
-0.002396484374999487,0.0020668945312500783,-0.0020463867187498347,-0.03129345703124941,-0.0018735351562494743,0.0020742187500000786,-0.002170898437499562,-0.05318408203125024
-0.0020332031249994872,0.0020698242187500784,-0.0024316406249995093,-0.0310576171874994,-0.0018837890624994885,0.002053710937500078,-0.0020917968749994895,-0.05364697265625026
-0.0018706054687494672,0.0020449218750000775,-0.001806152343749888,-0.03126123046874941,-0.0021943359374994864,0.002137207031250081,-0.002083007812499482,-0.05327783203125024
-0.0021181640624995182,0.00211523437500008,-0.001807617187499902,-0.031146972656249404,-0.002334960937499464,0.002137207031250081,-0.0023217773437494635,-0.053633789062500256
-0.0019614257812495123,0.0021240234375000805,-0.0024082031249995015,-0.0310825195312494,-0.002416992187499467,0.002087402343750079,-0.0018046874999995063,-0.05340234375000025
-0.0019804687499994575,0.0020654296875000783,-0.0017153320312499123,-0.031209960937499406,-0.001916015624999462,0.002081542968750079,-0.0019116210937495104,-0.05195947265625019
-0.0023789062499994865,0.0020493164062500777,-0.0024082031249994945,-0.03127001953124941,-0.002515136718749471,0.0020991210937500795,-0.001823730468749507,-0.053340820312500245
-0.001820800781249493,0.002056640625000078,-0.0017211914062498362,-0.031237792968749407,-0.001816406249999472,0.002002441406250076,-0.0022426757812494605,-0.053330566406250245
-0.001864746093749467,0.002083007812500079,-0.002326171874999554,-0.03125537109374941,-0.002393554687499487,0.0020756835937500787,-0.0018764648437494952,-0.05327636718750024
-0.0019936523437495066,0.002063964843750078,-0.0023642578124995275,-0.031205566406249406,-0.0021166992187495043,0.002036132812500077,-0.0024228515624994673,-0.05326318359375024
-0.0022983398437494626,0.0020698242187500784,-0.001933593749999865,-0.031174804687499405,-0.0020332031249994525,0.002058105468750078,-0.0020712890624995026,-0.05347412109375025
-0.001838378906249473,0.0020156250000000764,-0.0018823242187498562,-0.03136669921874941,-0.0023173828124994703,0.002063964843750078,-0.002440429687499468,-0.053110839843750236
-0.0025825195312494872,0.002058105468750078,-0.0017709960937499145,-0.031234863281249407,-0.0021635742187494783,0.0020771484375000787,-0.0021752929687495134,-0.053380371093750247
-0.001869140624999474,0.0020771484375000787,-0.0018544921874998621,-0.031198242187499406,-0.0017841796874994847,0.002063964843750078,-0.0017812499999994985,-0.05343164062500025
-0.002044921874999474,0.002034667968750077,-0.0019262695312498995,-0.030941894531249396,-0.00183984374999948,0.0020742187500000786,-0.002572265624999494,-0.05341406250000025
-0.0024067382812494736,0.0021196289062500803,-0.0019599609374998522,-0.031101562499999402,-0.0019335937499994696,0.002031738281250077,-0.0017475585937495042,-0.05343164062500025
-0.0022470703124994745,0.0021196289062500803,-0.0018867187499998495,-0.03128613281249941,-0.0020463867187494877,0.002053710937500078,-0.0018208007812494653,-0.05347851562500025
-0.0019057617187494824,0.002063964843750078,-0.0020742187499998843,-0.031189453124999406,-0.002314453124999463,0.0021049804687500798,-0.0020683593749995025,-0.05322216796875024
-0.0018574218749994945,0.002062500000000078,-0.002405273437499543,-0.0310268554687494,-0.0020361328124994874,0.0019980468750000757,-0.0018676757812495226,-0.053368652343750246
-0.002018554687499473,0.0020947265625000794,-0.0022001953124998336,-0.031113281249999403,-0.0021679687499994577,0.0020185546875000765,-0.0024023437499994804,-0.05321630859375024
-0.0019145507812494689,0.002028808593750077,-0.0018515624999998759,-0.031104492187499402,-0.0020112304687494795,0.0020786132812500788,-0.0019072265624994825,-0.053104980468750236
-0.001945312499999477,0.0020756835937500787,-0.002345214843749499,-0.031183593749999405,-0.002260253906249503,0.002058105468750078,-0.001979003906249492,-0.053630859375000256
-0.0023759765624994933,0.002090332031250079,-0.0017402343749998508,-0.031239257812499407,-0.0019072265624994686,0.002080078125000079,-0.0024082031249994737,-0.05298339843750023
-0.001886718749999447,0.002081542968750079,-0.002591308593749557,-0.031104492187499402,-0.0018574218749994875,0.0020654296875000783,-0.0019335937499994765,-0.05344921875000025
-0.0019555664062494774,0.0019980468750000757,-0.002408203124999536,-0.0310795898437494,-0.0023759765624994933,0.002088867187500079,-0.0019936523437494996,-0.05320312500000024
-0.0019863281249994855,0.002085937500000079,-0.0018457031249999103,-0.031129394531249403,-0.002343749999999492,0.0020917968750000793,-0.0020903320312494825,-0.05348291015625025
-0.0018193359374994791,0.0020449218750000775,-0.0022294921874995433,-0.0310693359374994,-0.002389160156249473,0.002062500000000078,-0.001958496093749533,-0.053320312500000244
-0.0020375976562494805,0.002030273437500077,-0.002560546874999535,-0.031114746093749403,-0.0020624999999994884,0.002062500000000078,-0.0018808593749994815,-0.053368652343750246
-0.0019028320312494754,0.002033203125000077,-0.0020786132812498914,-0.031095703124999402,-0.0018237304687494446,0.0020463867187500775,-0.002409667968749467,-0.053304199218750244
-0.002444824218749475,0.0021254882812500805,-0.0018164062499998884,-0.031148437499999404,-0.001735839843749476,0.002088867187500079,-0.002230957031249474,-0.053075683593750235
-0.0020668945312494955,0.002062500000000078,-0.002096191406249795,-0.031144042968749404,-0.0021547851562494502,0.002090332031250079,-0.002267578124999489,-0.05342871093750025
-0.0017812499999995193,0.002083007812500079,-0.0016142578124998738,-0.031154296874999404,-0.0024580078124994895,0.0021020507812500797,-0.002493164062499484,-0.05317382812500024
-0.0025693359374994867,0.0021049804687500798,-0.002397949218749508,-0.0310122070312494,-0.002389160156249466,0.0021210937500000804,-0.0020639648437495092,-0.05317089843750024
-0.0016874999999994533,0.0020668945312500783,-0.0025546874999995486,-0.031127929687499403,-0.0018896484374994818,0.0020668945312500783,-0.002204589843749466,-0.05320312500000024
-0.002424316406249488,0.002087402343750079,-0.002474121093749518,-0.030974121093749397,-0.002068359374999447,0.0020654296875000783,-0.0023583984374994788,-0.053373046875000246
-0.0021899414062494654,0.0020683593750000784,-0.002097656249999816,-0.031195312499999406,-0.0020156249999994935,0.0021035156250000797,-0.0019643554687494916,-0.053072753906250235
-0.0020903320312494894,0.002080078125000079,-0.0021489257812498316,-0.030963867187499397,-0.001976074218749492,0.0020932617187500793,-0.0019101562499994965,-0.05298632812500023
-0.002340820312499492,0.002137207031250081,-0.0022485351562494885,-0.0310019531249994,-0.0021665039062494784,0.00211083984375008,-0.0019453124999994909,-0.05325439453125024
-0.0017402343749994692,0.0021020507812500797,-0.0022397460937499183,-0.0310458984374994,-0.0023540039062494925,0.0020683593750000784,-0.001791503906249478,-0.05323388671875024
-0.001977539062499485,0.0020727539062500785,-0.0018940429687498636,-0.0310576171874994,-0.001980468749999499,0.0020991210937500795,-0.0019716796874995127,-0.053336425781250245
-0.0021196289062494628,0.002058105468750078,-0.0023496093749995547,-0.030979980468749398,-0.0018603515624994807,0.002063964843750078,-0.002216308593749494,-0.05350634765625025
-0.002390624999999459,0.0020947265625000794,-0.002189941406249493,-0.0310356445312494,-0.002340820312499478,0.00210937500000008,-0.002342285156249471,-0.053078613281250235
-0.0024580078124994964,0.0021196289062500803,-0.001703613281249905,-0.0310722656249994,-0.002370117187499486,0.002132812500000081,-0.0019218749999995247,-0.05326611328125024
-0.00176220703124947,0.002055175781250078,-0.0017124023437498567,-0.031207031249999406,-0.002081542968749475,0.0021020507812500797,-0.0019013671874994684,-0.05325146484375024
-0.0022163085937494595,0.00210644531250008,-0.0018940429687498567,-0.030919921874999395,-0.0021503906249995125,0.002134277343750081,-0.0019482421874995048,-0.05325146484375024
-0.002336425781249464,0.0020961914062500794,-0.0018632812499998833,-0.0310239257812494,-0.00212548828124947,0.0020214843750000766,-0.0020185546874995144,-0.052804687500000225
-0.0021401367187494635,0.0021049804687500798,-0.0019672851562494847,-0.0310400390624994,-0.002415527343749495,0.00211230468750008,-0.0018310546874994935,-0.05345361328125025
-0.0022734374999995033,0.00211376953125008,-0.0016962890624998977,-0.031094238281249402,-0.0017753906249994844,0.002080078125000079,-0.0020112304687495072,-0.05312695312500024
-0.0017944335937494643,0.0021298828125000807,-0.002031738281249862,-0.03081884765624939,-0.0018281249999994725,0.002027343750000077,-0.0021152343749994973,-0.05302148437500023
-0.002416992187499467,0.0020976562500000795,-0.002318847656249526,-0.030959472656249397,-0.001945312499999477,0.002087402343750079,-0.0018808593749994884,-0.05313281250000024
-0.0015952148437494706,0.002037597656250077,-0.0019291992187498788,-0.031174804687499405,-0.0020375976562494943,0.002061035156250078,-0.0025927734374995015,-0.052836914062500226
-0.0022954101562494833,0.0020463867187500775,-0.001662597656249834,-0.0310854492187494,-0.00246679687499949,0.0021181640625000803,-0.0021328124999994494,-0.053085937500000235
-0.0016450195312494587,0.002055175781250078,-0.0023789062499995142,-0.030982910156249398,-0.0023481445312494575,0.0021254882812500805,-0.001848632812499515,-0.053094726562500236
-0.0017739257812494774,0.0020244140625000767,-0.0019936523437498674,-0.0310664062499994,-0.00194384765624947,0.00210791015625008,-0.0022895507812494553,-0.05339794921875025
-0.0024287109374994814,0.002088867187500079,-0.0022880859374995385,-0.031119140624999403,-0.00204345703124946,0.0021313476562500808,-0.0020830078124995308,-0.05319287109375024
-0.0018471679687494663,0.0021020507812500797,-0.0021313476562495187,-0.031168945312499405,-0.002075683593749475,0.00211523437500008,-0.0017255859374994964,-0.05349023437500025
-0.00210498046874949,0.0020947265625000794,-0.0024843749999995182,-0.0310488281249994,-0.0022690429687494823,0.00210791015625008,-0.0018515624999994942,-0.05318554687500024
-0.0020610351562494814,0.0020756835937500787,-0.0025107421874995123,-0.030871582031249394,-0.0022895507812494623,0.0021240234375000805,-0.0017255859374995033,-0.053097656250000236
